,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay,params_dropout,params_lr,params_transform,state
52,52,68.84,2025-10-24 01:40:11.593657,2025-10-24 01:41:10.886354,0 days 00:00:59.292697,32,1e-07,0.0007388652054132333,0.00037789881704250174,easy_transform,COMPLETE
53,53,1.42,2025-10-24 01:41:10.887355,2025-10-24 01:42:05.847894,0 days 00:00:54.960539,32,1e-07,0.9984995090975497,0.00019170889008824209,easy_transform,COMPLETE
54,54,41.64,2025-10-24 01:42:05.848894,2025-10-24 01:43:00.855176,0 days 00:00:55.006282,32,1e-07,0.014655834239066396,0.00015655523980335966,easy_transform,COMPLETE
55,55,40.06,2025-10-24 01:43:00.855176,2025-10-24 01:43:56.367610,0 days 00:00:55.512434,32,1e-07,0.10751654030179368,0.0003670638441828259,easy_transform,COMPLETE
56,56,55.98,2025-10-24 01:43:56.368609,2025-10-24 01:44:52.111529,0 days 00:00:55.742920,32,1e-07,0.0025477960436763652,0.00023659940877634623,easy_transform,COMPLETE
57,57,56.36,2025-10-24 01:44:52.112528,2025-10-24 01:45:35.459604,0 days 00:00:43.347076,512,1e-07,0.0024967123978417646,0.0008535549534434415,easy_transform,COMPLETE
58,58,20.96,2025-10-24 01:45:35.459604,2025-10-24 01:46:38.174617,0 days 00:01:02.715013,512,1e-07,0.0027696248937237517,0.0008623726099405473,crop_transform,COMPLETE
59,59,24.64,2025-10-24 01:46:38.175616,2025-10-24 01:47:18.832053,0 days 00:00:40.656437,512,1e-07,0.10383642066345822,0.000412150576451407,easy_transform,COMPLETE
60,60,7.8,2025-10-24 01:47:18.833054,2025-10-24 01:47:58.742460,0 days 00:00:39.909406,512,1e-07,0.5986888905173106,0.00031651146053005594,easy_transform,COMPLETE
61,61,60.74,2025-10-24 01:47:58.742460,2025-10-24 01:48:54.065754,0 days 00:00:55.323294,32,1e-07,0.033214383564602386,0.0006406205855332952,easy_transform,COMPLETE
62,62,72.8,2025-10-24 01:48:54.066753,2025-10-24 01:49:49.536139,0 days 00:00:55.469386,32,1e-07,0.0023133335166717686,0.0009684480163029711,easy_transform,COMPLETE
63,63,61.28,2025-10-24 01:49:49.537138,2025-10-24 01:50:45.086951,0 days 00:00:55.549813,32,1e-07,0.03682921045805131,0.0009991388440931202,easy_transform,COMPLETE
64,64,45.4,2025-10-24 01:50:45.086951,2025-10-24 01:51:40.676511,0 days 00:00:55.589560,32,1e-07,0.1019171271449957,0.0006348794892720152,easy_transform,COMPLETE
65,65,36.34,2025-10-24 01:51:40.677507,2025-10-24 01:52:35.888452,0 days 00:00:55.210945,32,1e-05,0.17329265895508555,0.0009356893779214531,easy_transform,COMPLETE
66,66,19.16,2025-10-24 01:52:35.889459,2025-10-24 01:53:31.111218,0 days 00:00:55.221759,32,0.01,0.03907902861638018,0.000616590956546772,easy_transform,COMPLETE
67,67,42.28,2025-10-24 01:53:31.112218,2025-10-24 01:54:26.077928,0 days 00:00:54.965710,32,0.0,0.12408232072726313,0.0008265609613001491,easy_transform,COMPLETE
68,68,3.24,2025-10-24 01:54:26.077928,2025-10-24 01:55:04.968321,0 days 00:00:38.890393,1024,1e-07,0.7804894443001053,0.000993499066755408,easy_transform,COMPLETE
69,69,11.7,2025-10-24 01:55:04.969487,2025-10-24 01:55:59.611379,0 days 00:00:54.641892,32,1e-07,0.0896794933704421,2.5122405067554807e-05,easy_transform,COMPLETE
70,70,22.94,2025-10-24 01:55:59.611379,2025-10-24 01:56:41.418281,0 days 00:00:41.806902,256,1e-08,0.23055113476001074,0.00045795760213113943,easy_transform,COMPLETE
71,71,39.9,2025-10-24 01:56:41.419280,2025-10-24 01:57:21.646884,0 days 00:00:40.227604,512,1e-07,0.04381501964706948,0.000725172489262969,easy_transform,COMPLETE
72,72,49.82,2025-10-24 01:57:21.646884,2025-10-24 01:58:16.974524,0 days 00:00:55.327640,32,1e-07,0.07013830081326243,0.0008958966202794852,easy_transform,COMPLETE
73,73,63.82,2025-10-24 01:58:16.975523,2025-10-24 01:59:12.691872,0 days 00:00:55.716349,32,1e-07,0.02662350952317314,0.0005821501171603038,easy_transform,COMPLETE
74,74,61.28,2025-10-24 01:59:12.692871,2025-10-24 02:00:12.147921,0 days 00:00:59.455050,32,1e-07,0.03517606928990532,0.0005707923270500926,easy_transform,COMPLETE
75,75,51.26,2025-10-24 02:00:12.148918,2025-10-24 02:01:07.600110,0 days 00:00:55.451192,32,1e-07,0.07462156782540288,0.0006806000316216054,easy_transform,COMPLETE
76,76,17.74,2025-10-24 02:01:07.601112,2025-10-24 02:02:21.366156,0 days 00:01:13.765044,32,0.001,0.13672289264632675,0.00046692138197469837,crop_transform,COMPLETE
77,77,40.02,2025-10-24 02:02:21.366156,2025-10-24 02:03:06.009027,0 days 00:00:44.642871,128,1e-07,0.03279565462618044,0.00039726959220372503,easy_transform,COMPLETE
78,78,56.18,2025-10-24 02:03:06.010027,2025-10-24 02:04:01.252213,0 days 00:00:55.242186,32,1e-07,0.02719793734224732,0.0003358366776486371,easy_transform,COMPLETE
79,79,46.72,2025-10-24 02:04:01.253536,2025-10-24 02:04:56.138511,0 days 00:00:54.884975,32,1e-07,0.08907045126022706,0.0005746077288175294,easy_transform,COMPLETE
80,80,13.82,2025-10-24 02:04:56.139638,2025-10-24 02:05:53.256420,0 days 00:00:57.116782,32,0.01,0.0573322376939064,3.454973352253862e-05,easy_transform,COMPLETE
81,81,57.44,2025-10-24 02:05:53.256420,2025-10-24 02:06:48.336197,0 days 00:00:55.079777,32,1e-07,0.04705253128538327,0.0005794353341589801,easy_transform,COMPLETE
82,82,63.84,2025-10-24 02:06:48.336197,2025-10-24 02:07:43.146921,0 days 00:00:54.810724,32,1e-07,0.031110134500931245,0.0007865333599101593,easy_transform,COMPLETE
83,83,65.04,2025-10-24 02:07:43.147920,2025-10-24 02:08:38.333261,0 days 00:00:55.185341,32,1e-07,0.022687673244846593,0.0007783092886969706,easy_transform,COMPLETE
84,84,39.36,2025-10-24 02:08:38.334259,2025-10-24 02:09:17.854496,0 days 00:00:39.520237,1024,0.0,0.0008609717028731957,0.0007842363301579447,easy_transform,COMPLETE
85,85,42.44,2025-10-24 02:09:17.855656,2025-10-24 02:10:13.465931,0 days 00:00:55.610275,32,1e-05,0.10705553209141926,0.0004935676427022808,easy_transform,COMPLETE
86,86,47.58,2025-10-24 02:10:13.467930,2025-10-24 02:11:08.210085,0 days 00:00:54.742155,32,1e-07,0.07085128989503214,0.000990837992970052,easy_transform,COMPLETE
87,87,31.54,2025-10-24 02:11:08.211333,2025-10-24 02:11:51.143713,0 days 00:00:42.932380,256,1e-08,0.15356593915838623,0.0007202575252022825,easy_transform,COMPLETE
88,88,2.78,2025-10-24 02:11:51.144711,2025-10-24 02:13:04.881347,0 days 00:01:13.736636,32,1e-07,0.6688079781078607,1.9098085258617053e-05,crop_transform,COMPLETE
89,89,34.1,2025-10-24 02:13:04.882472,2025-10-24 02:13:59.521429,0 days 00:00:54.638957,32,1e-07,0.1993559793505398,0.0008006038603619157,easy_transform,COMPLETE
90,90,64.26,2025-10-24 02:13:59.521429,2025-10-24 02:14:56.457461,0 days 00:00:56.936032,32,1e-07,0.023490013334214445,0.0005100981508857561,easy_transform,COMPLETE
91,91,63.64,2025-10-24 02:14:56.457461,2025-10-24 02:15:53.661974,0 days 00:00:57.204513,32,1e-07,0.023479532609422205,0.0004860604637684055,easy_transform,COMPLETE
92,92,62.38,2025-10-24 02:15:53.662974,2025-10-24 02:16:51.678342,0 days 00:00:58.015368,32,1e-07,0.01796881465405569,0.00038845664501920696,easy_transform,COMPLETE
